event_id;team_host;team_away;league;bet_type;expected_result;coefficient;actual_result;win_status
39709437;Карпаты Львов;Шахтер Д;0;Фора +2.5;Карпаты Львов;1.47;2:3 (2:0);1
39709436;Александрия;Заря Луганск;0;"Фора ""0"" -0";Александрия;2.63;0:1 (0:1);0
39709435;Черноморец Одесса;Олимпик Донецк;0;1Х2 (Основное время);Черноморец Одесса;2.48;3:0(2:0, 1:0);1
39709434;Сталь Днепродзержинск;Динамо Киев;0;Тотал 3.5;Меньше;1.55;Меньше 3.5;1
39709433;Днепр;Ворксла Полтава;0;Фора +0;Ворксла Полтава;1.00;1:1 (0:0);undefined
39709432;Волынь Луцк;Звезда Кировоград;0;1Х2 (Основное время);Волынь Луцк;2.00;1:0(0:0, 1:0);1
