event_id;team_host;team_away;league;bet_type;expected_result;coefficient;actual_result;win_status
40390719;Звезда Кировоград;Черноморец Одесса;0;1Х2 (Основное время);ничья;3.09;0:1(0:1, 0:0);0
40390718;Заря Луганск;Карпаты Львов;0;"Фора ""0"" +0";Карпаты Львов;3.27;2:1 (1:0);0
40390717;Ворксла Полтава;Сталь Днепродзержинск;0;1Х2 (Основное время);Ворксла Полтава;1.67;0:0(0:0, 0:0);0
40390455;Шахтер Д;Днепр;0;Фора +2;Днепр;1.68;4:0 (2:0);0
40390088;Атлетико М;Алавес;0;1Х2 (Основное время);Атлетико М;1.24;1:1(0:0, 1:1);0
40390087;Севилья;Эспаньол ;0;1Х2 (Основное время);Севилья;1.71;6:4(3:3, 3:1);1
40390086;Реал Сосьедад;Реал М;0;1Х2 (Основное время);Реал М;1.84;0:3(0:2, 0:1);1
40389931;Вест Хэм;Борнмут;0;1Х2 (Основное время);Вест Хэм;2.00;1:0(0:0, 1:0);1
